index,slug,title,scene,width,height,page_url,image_url,filename,caption
1,rainstorm-beneath-the-summit,Rainstorm Beneath the Summit,mountain peak above a dark rainstorm and streaked sky,4501,2966,https://www.wikiart.org/en/katsushika-hokusai/rainstorm-beneath-the-summit,https://uploads8.wikiart.org/images/katsushika-hokusai/rainstorm-beneath-the-summit.jpg,hokusai_01_rainstorm_beneath_the_summit.jpg,"<hokusai_style>, ukiyo-e woodblock print, mountain peak above a dark rainstorm and streaked sky, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
2,fuji-mountains-in-clear-weather-1831,Fuji Mountains in Clear Weather,mount fuji under clear weather with strong geometric slopes,4400,2937,https://www.wikiart.org/en/katsushika-hokusai/fuji-mountains-in-clear-weather-1831,https://uploads7.wikiart.org/images/katsushika-hokusai/fuji-mountains-in-clear-weather-1831.jpg,hokusai_02_fuji_mountains_in_clear_weather_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, mount fuji under clear weather with strong geometric slopes, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
3,the-fields-of-sekiya-by-the-sumida-river-1831,The Fields of Sekiya by the Sumida River,riverside fields with distant mountain and open sky,4521,3017,https://www.wikiart.org/en/katsushika-hokusai/the-fields-of-sekiya-by-the-sumida-river-1831,https://uploads7.wikiart.org/images/katsushika-hokusai/the-fields-of-sekiya-by-the-sumida-river-1831.jpg,hokusai_03_the_fields_of_sekiya_by_the_sumida_river_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, riverside fields with distant mountain and open sky, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
4,the-great-wave-of-kanagawa-1831,The Great Wave of Kanagawa,towering wave over small boats with mountain in the distance,3859,2594,https://www.wikiart.org/en/katsushika-hokusai/the-great-wave-of-kanagawa-1831,https://uploads5.wikiart.org/00129/images/katsushika-hokusai/the-great-wave-off-kanagawa.jpg,hokusai_04_the_great_wave_of_kanagawa_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, towering wave over small boats with mountain in the distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
5,shore-of-tago-bay-ejiri-at-tokaido,Shore of Tago Bay Ejiri at Tokaido,shoreline scene with broad water and distant fuji view,4515,2974,https://www.wikiart.org/en/katsushika-hokusai/shore-of-tago-bay-ejiri-at-tokaido,https://uploads5.wikiart.org/images/katsushika-hokusai/shore-of-tago-bay-ejiri-at-tokaido.jpg,hokusai_05_shore_of_tago_bay_ejiri_at_tokaido.jpg,"<hokusai_style>, ukiyo-e woodblock print, shoreline scene with broad water and distant fuji view, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
6,fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833,Fishing by Torchlight in Kai Province,night fishing boats with glowing torchlight on dark water,2781,2030,https://www.wikiart.org/en/katsushika-hokusai/fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833,https://uploads8.wikiart.org/images/katsushika-hokusai/fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833.jpg,hokusai_06_fishing_by_torchlight_in_kai_province_from_oceans_of_wisdom_.jpg,"<hokusai_style>, ukiyo-e woodblock print, night fishing boats with glowing torchlight on dark water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
7,lake-suwa-in-the-shinano-province,Lake Suwa in the Shinano Province,lake view with shoreline settlement and distant mountains,4410,2938,https://www.wikiart.org/en/katsushika-hokusai/lake-suwa-in-the-shinano-province,https://uploads4.wikiart.org/images/katsushika-hokusai/lake-suwa-in-the-shinano-province.jpg,hokusai_07_lake_suwa_in_the_shinano_province.jpg,"<hokusai_style>, ukiyo-e woodblock print, lake view with shoreline settlement and distant mountains, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
8,bay-of-noboto,Bay of Noboto,quiet bay with layered shoreline and distant mountain forms,4472,2976,https://www.wikiart.org/en/katsushika-hokusai/bay-of-noboto,https://uploads2.wikiart.org/images/katsushika-hokusai/bay-of-noboto.jpg,hokusai_08_bay_of_noboto.jpg,"<hokusai_style>, ukiyo-e woodblock print, quiet bay with layered shoreline and distant mountain forms, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
9,fuji-seen-through-the-mannen-bridge-at-fukagawa,Fuji Seen Through the Mannen Bridge,large bridge framing mount fuji in the distance,4448,2959,https://www.wikiart.org/en/katsushika-hokusai/fuji-seen-through-the-mannen-bridge-at-fukagawa,https://uploads0.wikiart.org/images/katsushika-hokusai/fuji-seen-through-the-mannen-bridge-at-fukagawa.jpg,hokusai_09_fuji_seen_through_the_mannen_bridge_at_fukagawa.jpg,"<hokusai_style>, ukiyo-e woodblock print, large bridge framing mount fuji in the distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
10,nihonbashi-bridge-in-edo,Nihonbashi Bridge in Edo,busy bridge and river traffic in an urban print composition,4472,2912,https://www.wikiart.org/en/katsushika-hokusai/nihonbashi-bridge-in-edo,https://uploads4.wikiart.org/images/katsushika-hokusai/nihonbashi-bridge-in-edo.jpg,hokusai_10_nihonbashi_bridge_in_edo.jpg,"<hokusai_style>, ukiyo-e woodblock print, busy bridge and river traffic in an urban print composition, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
11,sunset-across-the-ryogoku-bridge-from-the-bank-of-the-sumida-river-at-onmagayashi,Sunset across the Ryogoku Bridge,sunset river view with long bridge silhouette and boats,4314,2913,https://www.wikiart.org/en/katsushika-hokusai/sunset-across-the-ryogoku-bridge-from-the-bank-of-the-sumida-river-at-onmagayashi,https://uploads7.wikiart.org/images/katsushika-hokusai/sunset-across-the-ryogoku-bridge-from-the-bank-of-the-sumida-river-at-onmagayashi.jpg,hokusai_11_sunset_across_the_ryogoku_bridge_from_the_bank_of_the_sumida.jpg,"<hokusai_style>, ukiyo-e woodblock print, sunset river view with long bridge silhouette and boats, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
12,tama-river-in-the-musashi-province,Tama River in the Musashi Province,wide river landscape with boats and open banks,4420,2957,https://www.wikiart.org/en/katsushika-hokusai/tama-river-in-the-musashi-province,https://uploads5.wikiart.org/images/katsushika-hokusai/tama-river-in-the-musashi-province.jpg,hokusai_12_tama_river_in_the_musashi_province.jpg,"<hokusai_style>, ukiyo-e woodblock print, wide river landscape with boats and open banks, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
13,the-kazusa-sea-route,The Kazusa Sea Route,sea route scene with boats crossing broad water,4527,2984,https://www.wikiart.org/en/katsushika-hokusai/the-kazusa-sea-route,https://uploads0.wikiart.org/images/katsushika-hokusai/the-kazusa-sea-route.jpg,hokusai_13_the_kazusa_sea_route.jpg,"<hokusai_style>, ukiyo-e woodblock print, sea route scene with boats crossing broad water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
14,the-lake-of-hakone-in-the-segami-province,The Lake of Hakone in the Segami Province,lake and mountain landscape with layered distance,4545,3000,https://www.wikiart.org/en/katsushika-hokusai/the-lake-of-hakone-in-the-segami-province,https://uploads3.wikiart.org/images/katsushika-hokusai/the-lake-of-hakone-in-the-segami-province.jpg,hokusai_14_the_lake_of_hakone_in_the_segami_province.jpg,"<hokusai_style>, ukiyo-e woodblock print, lake and mountain landscape with layered distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
15,the-waterfall-of-amida-behind-the-kiso-road,The Waterfall of Amida behind the Kiso Road,tall waterfall dropping beside steep rocks and trees,1576,2317,https://www.wikiart.org/en/katsushika-hokusai/the-waterfall-of-amida-behind-the-kiso-road,https://uploads5.wikiart.org/images/katsushika-hokusai/the-waterfall-of-amida-behind-the-kiso-road.jpg,hokusai_15_the_waterfall_of_amida_behind_the_kiso_road.jpg,"<hokusai_style>, ukiyo-e woodblock print, tall waterfall dropping beside steep rocks and trees, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
16,ono-waterfall-at-kisokaido,Ono Waterfall at Kisokaido,waterfall framed by rocks and vegetation in vertical composition,2196,3186,https://www.wikiart.org/en/katsushika-hokusai/ono-waterfall-at-kisokaido,https://uploads6.wikiart.org/images/katsushika-hokusai/ono-waterfall-at-kisokaido.jpg,hokusai_16_ono_waterfall_at_kisokaido.jpg,"<hokusai_style>, ukiyo-e woodblock print, waterfall framed by rocks and vegetation in vertical composition, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
17,the-suspension-bridge-between-hida-and-etchu,The Suspension Bridge between Hida and Etchu,suspension bridge crossing a mountain valley,2027,1534,https://www.wikiart.org/en/katsushika-hokusai/the-suspension-bridge-between-hida-and-etchu,https://uploads6.wikiart.org/images/katsushika-hokusai/the-suspension-bridge-between-hida-and-etchu.jpg,hokusai_17_the_suspension_bridge_between_hida_and_etchu.jpg,"<hokusai_style>, ukiyo-e woodblock print, suspension bridge crossing a mountain valley, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
18,view-on-mount-fuji-between-flowerin-trees,View on Mount Fuji between Flowering Trees,mountain framed by flowering trees and layered hills,3802,1482,https://www.wikiart.org/en/katsushika-hokusai/view-on-mount-fuji-between-flowerin-trees,https://uploads3.wikiart.org/images/katsushika-hokusai/view-on-mount-fuji-between-flowerin-trees.jpg,hokusai_18_view_on_mount_fuji_between_flowerin_trees.jpg,"<hokusai_style>, ukiyo-e woodblock print, mountain framed by flowering trees and layered hills, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
19,the-back-of-the-fuji-from-the-minobu-river,The Back of Fuji from the Minobu River,river view with the rear slope of fuji in the distance,4343,2933,https://www.wikiart.org/en/katsushika-hokusai/the-back-of-the-fuji-from-the-minobu-river,https://uploads4.wikiart.org/images/katsushika-hokusai/the-back-of-the-fuji-from-the-minobu-river.jpg,hokusai_19_the_back_of_the_fuji_from_the_minobu_river.jpg,"<hokusai_style>, ukiyo-e woodblock print, river view with the rear slope of fuji in the distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
20,mitsui-shop-on-suruga-street-in-edo,Mitsui Shop on Suruga Street in Edo,busy commercial street with distant fuji and layered rooftops,4423,2942,https://www.wikiart.org/en/katsushika-hokusai/mitsui-shop-on-suruga-street-in-edo,https://uploads6.wikiart.org/images/katsushika-hokusai/mitsui-shop-on-suruga-street-in-edo.jpg,hokusai_20_mitsui_shop_on_suruga_street_in_edo.jpg,"<hokusai_style>, ukiyo-e woodblock print, busy commercial street with distant fuji and layered rooftops, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
21,the-fuji-from-gotenyama-at-shinagawa-on-the-tokaido,The Fuji from Gotenyama at Shinagawa on the Tokaido,hillside foreground opening toward distant fuji and water,1600,1104,https://www.wikiart.org/en/katsushika-hokusai/the-fuji-from-gotenyama-at-shinagawa-on-the-tokaido,https://uploads4.wikiart.org/images/katsushika-hokusai/the-fuji-from-gotenyama-at-shinagawa-on-the-tokaido.jpg,hokusai_21_the_fuji_from_gotenyama_at_shinagawa_on_the_tokaido.jpg,"<hokusai_style>, ukiyo-e woodblock print, hillside foreground opening toward distant fuji and water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
22,the-fuji-from-kanaya-on-the-tokaido,The Fuji from Kanaya on the Tokaido,travel route landscape with fuji beyond broad riverbanks,4469,2996,https://www.wikiart.org/en/katsushika-hokusai/the-fuji-from-kanaya-on-the-tokaido,https://uploads6.wikiart.org/images/katsushika-hokusai/the-fuji-from-kanaya-on-the-tokaido.jpg,hokusai_22_the_fuji_from_kanaya_on_the_tokaido.jpg,"<hokusai_style>, ukiyo-e woodblock print, travel route landscape with fuji beyond broad riverbanks, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
23,the-fuji-reflects-in-lake-kawaguchi-seen-from-the-misaka-pass-in-the-kai-province,Fuji Reflects in Lake Kawaguchi,lake reflection scene with fuji mirrored across calm water,4388,2952,https://www.wikiart.org/en/katsushika-hokusai/the-fuji-reflects-in-lake-kawaguchi-seen-from-the-misaka-pass-in-the-kai-province,https://uploads7.wikiart.org/images/katsushika-hokusai/the-fuji-reflects-in-lake-kawaguchi-seen-from-the-misaka-pass-in-the-kai-province.jpg,hokusai_23_the_fuji_reflects_in_lake_kawaguchi_seen_from_the_misaka_pas.jpg,"<hokusai_style>, ukiyo-e woodblock print, lake reflection scene with fuji mirrored across calm water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
24,kajikazawa-in-kai-province,Kajikazawa in Kai Province,fisherman on a steep riverbank above deep blue water,4486,2948,https://www.wikiart.org/en/katsushika-hokusai/kajikazawa-in-kai-province,https://uploads6.wikiart.org/images/katsushika-hokusai/kajikazawa-in-kai-province.jpg,hokusai_24_kajikazawa_in_kai_province.jpg,"<hokusai_style>, ukiyo-e woodblock print, fisherman on a steep riverbank above deep blue water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
